i, nrow, alfa, Max_It, b, W1, W2, W3, W4, Ite, Aciertos
6,457,0.4,700,-13.519,-3.97,62.904,-24.091,0.3642,34,2
7,458,0.4,800,-3.6214,-1.1503,22.083,-7.8664,0.38623,12,2
8,459,0.4,900,-6.6902,-1.4018,32.697,-11.034,-1.0724,18,2
9,460,0.4,1000,-4.0809,-1.1453,21.8,-8.1645,-0.89033,12,2
0,461,0.4,1100,-3.8142,-2.1309,20.934,-7.6068,-0.74083,12,2
1,462,0.4,1200,-3.9926,-2.2994,21.831,-7.2661,-0.60621,12,2
2,463,0.4,1300,-15.817,-4.0066,74.685,-24.722,-1.3541,40,2
3,464,0.4,1400,-4.5636,-1.0578,21.646,-7.9911,0.28926,12,2
4,465,0.4,1500,-8.348,-3.4123,42.899,-16.384,0.4981,23,2
5,466,0.4,1600,-4.3649,-2.2013,21.396,-7.5588,0.13743,12,2
6,467,0.4,1700,-3.8012,-0.57873,22.101,-7.9674,0.41418,12,2
7,468,0.4,1800,-4.5624,-2.0006,20.414,-7.7629,-0.95555,12,2
8,469,0.4,1900,0.36814,-0.76927,0.63739,-0.2462,-0.54169,1,2
9,470,0.4,2000,-3.8754,-2.0509,21.75,-8.3399,-0.36844,12,2
0,471,0.4,2100,-4.0263,-1.2301,21.756,-8.2808,-0.63053,12,2
1,472,0.4,2200,-13.542,-4.2338,63.443,-24.365,0.94514,34,2
2,473,0.4,2300,-15.732,-4.8658,74.504,-28.376,-1.3812,40,2
3,474,0.4,2400,-4.2239,-0.62862,21.043,-7.2828,0.89598,12,2
4,475,0.4,2500,-15.274,-5.3934,73.758,-24.387,0.70062,39,2
5,476,0.4,2600,-4.3391,-0.74312,20.414,-7.7657,0.13365,12,2
6,477,0.4,2700,-3.6042,-2.3954,20.775,-7.3575,0.79023,12,2
7,478,0.4,2800,-14.995,-5.7831,74.866,-24.831,0.2667,39,2
8,479,0.4,2900,-13.631,-3.5401,63.734,-24.48,0.56906,34,2
9,480,0.4,3000,-15.545,-5.4515,73.81,-28.205,-1.3469,40,2
0,481,0.4,3100,-15.755,-5.3902,75.121,-24.888,-0.55298,39,2
1,482,0.4,3200,-3.7945,-0.89802,21.596,-7.1624,0.81785,12,2
2,483,0.4,3300,-3.8672,-0.40065,21.802,-8.3542,-0.94971,12,2
3,484,0.4,3400,-4.2155,-1.4544,20.985,-7.28,-0.88508,12,2
4,485,0.4,3500,-4.2165,-2.1163,20.291,-7.604,0.82702,12,2
5,486,0.4,3600,-3.652,-1.9138,22.014,-7.596,0.79128,12,2
6,487,0.4,3700,-3.777,-0.52662,22.194,-8.2061,0.31987,12,2
7,488,0.4,3800,-3.8203,-1.1553,21.601,-8.021,0.017634,12,2
8,489,0.4,3900,-3.8448,-2.319,22.002,-7.5359,0.23157,12,2
9,490,0.4,4000,-3.7954,-1.8311,20.612,-7.6956,0.85624,12,2
0,491,0.4,4100,-3.7433,-1.6991,20.74,-7.5108,0.44598,12,2
1,492,0.4,4200,-4.5284,-0.56236,20.738,-7.6237,0.23599,12,2
2,493,0.4,4300,-16.312,-5.6232,74.471,-28.378,-0.55959,40,2
3,494,0.4,4400,-14.819,-4.6803,74.735,-24.769,-0.36868,39,2
4,495,0.4,4500,-4.1664,-0.62826,20.246,-7.2734,-0.51001,12,2
5,496,0.4,4600,-4.1996,-2.1292,20.631,-7.4505,-0.82563,12,2
6,497,0.4,4700,-4.1358,-1.2198,20.593,-7.6064,0.18594,12,2
7,498,0.4,4800,-3.9924,-1.9177,21.026,-7.459,-0.92932,12,2
8,499,0.4,4900,-4.5476,-2.2411,21.031,-7.029,0.6853,12,2
9,500,0.4,5000,-13.783,-3.745,62.83,-24.029,0.73719,34,2
0,501,0.5,100,-6.3163,-2.8622,53.568,-20.613,0.82569,23,2
1,502,0.5,200,-3.4093,-0.97321,26.926,-10.03,0.66644,12,2
2,503,0.5,300,-2.9453,-2.699,26.171,-10.026,-0.54927,12,2
3,504,0.5,400,-3.1003,-1.3877,27.17,-9.2083,-0.1248,12,2
4,505,0.5,500,-6.5377,-3.6198,52.619,-20.106,0.92878,23,2
5,506,0.5,600,-11.611,-6.008,92.043,-30.615,0.79627,39,2
6,507,0.5,700,-11.859,-7.0459,93.199,-35.643,-1.0018,40,2
7,508,0.5,800,-10.31,-4.2985,80.341,-30.892,0.80617,34,2
8,509,0.5,900,-11.689,-5.2648,93.153,-35.545,0.38742,40,2
9,510,0.5,1000,-3.1426,-0.90111,26.937,-9.2415,0.73012,12,2
0,511,0.5,1100,-2.5529,-2.4774,27.112,-9.6378,-0.13723,12,2
1,512,0.5,1200,-11.673,-5.3477,92.564,-35.448,-1.3645,40,2
2,513,0.5,1300,-6.3966,-3.7074,53.162,-20.313,0.94242,23,2
3,514,0.5,1400,-2.6286,-1.4147,27.227,-10.16,-0.85318,12,2
4,515,0.5,1500,-2.6046,-1.3607,27.183,-9.6475,0.4028,12,2
5,516,0.5,1600,-3.2137,-1.5752,26.15,-9.0103,-0.58492,12,2
6,517,0.5,1700,-6.3841,-2.8338,53.54,-20.599,0.52953,23,2
7,518,0.5,1800,-2.5204,-0.82147,26.507,-10.043,0.17139,12,2
8,519,0.5,1900,-3.418,-2.0518,26.022,-9.8201,0.49077,12,2
9,520,0.5,2000,-12.339,-6.5001,92.674,-35.364,-0.59354,40,2
0,521,0.5,2100,-9.9902,-6.1303,79.39,-30.429,-0.60164,34,2
1,522,0.5,2200,-6.2669,-4.461,53.66,-20.599,-0.14687,23,2
2,523,0.5,2300,-3.3823,-1.6964,26.039,-9.4643,0.90882,12,2
3,524,0.5,2400,-11.908,-6.9502,92.844,-30.871,-0.74879,39,2
4,525,0.5,2500,-2.7733,-2.2846,25.922,-9.7804,-0.21095,12,2
5,526,0.5,2600,-10.137,-4.3274,80,-30.843,0.73591,34,2
6,527,0.5,2700,-2.6715,-1.156,27.073,-10.337,0.89998,12,2
7,528,0.5,2800,-3.156,-1.4917,26.091,-9.766,0.97701,12,2
8,529,0.5,2900,-2.7138,-2.2707,25.501,-9.1814,0.25508,12,2
9,530,0.5,3000,-9.784,-4.7526,79.734,-30.633,0.68719,34,2
0,531,0.5,3100,-2.7756,-1.4464,26.726,-9.2524,0.58535,12,2
1,532,0.5,3200,-3.3173,-1.9317,27.495,-9.7524,-0.29367,12,2
2,533,0.5,3300,-2.5119,-2.1082,26.011,-9.1178,0.78581,12,2
3,534,0.5,3400,-6.3502,-2.5951,53.748,-20.676,-0.70662,23,2
4,535,0.5,3500,-12.267,-5.6698,92.645,-35.511,-1.4786,40,2
5,536,0.5,3600,-2.8492,-2.2403,27.324,-10.265,-0.92393,12,2
6,537,0.5,3700,-12.587,-5.8673,94.168,-35.977,-1.7688,41,2
7,538,0.5,3800,-2.9673,-1.918,26.427,-10.068,0.096317,12,2
8,539,0.5,3900,-2.9253,-1.7346,27.062,-10.42,0.101,12,2
9,540,0.5,4000,-10.43,-5.8422,79.61,-30.572,0.098313,34,2
0,541,0.5,4100,-12.213,-5.5291,92.917,-35.523,-0.73883,40,2
1,542,0.5,4200,-11.748,-5.499,92.638,-30.785,0.61227,39,2
2,543,0.5,4300,-3.1917,-1.7422,25.58,-9.7516,-0.22512,12,2
3,544,0.5,4400,-2.7742,-2.0859,27.363,-10.064,-0.99986,12,2
4,545,0.5,4500,-2.9082,-1.951,25.546,-9.7245,-0.1213,12,2
5,546,0.5,4600,-11.26,-5.764,92.908,-30.902,0.43939,39,2
6,547,0.5,4700,-2.6724,-1.9404,25.603,-9.104,0.75477,12,2
7,548,0.5,4800,-2.9932,-1.8527,27.269,-9.2926,0.29547,12,2
8,549,0.5,4900,-9.8656,-6.098,79.225,-30.538,0.72036,34,2
9,550,0.5,5000,-2.8886,-1.2871,25.813,-9.1007,-0.19915,12,2
