i, nrow, alfa, Max_It, b, W1, W2, W3, W4, Ite, Aciertos
0,211,-0.1,1100,-2199.8,220.32,6819.4,20900,110.75,1100,2
1,212,-0.1,1200,-119.51,-59.709,-3719.2,-9600.5,0.17244,1200,1
2,213,-0.1,1300,-2599.6,260.68,8059.1,24700,130.11,1300,2
3,214,-0.1,1400,-139.61,-69.441,-4340.2,-11200,0.31894,1400,1
4,215,-0.1,1500,-149.02,-75.643,-4650.9,-12001,0.80363,1500,1
5,216,-0.1,1600,-159.24,-80.032,-4960.7,-12800,0.98706,1600,1
6,217,-0.1,1700,-169.59,-84.068,-5269.1,-13601,-0.80496,1700,1
7,218,-0.1,1800,-179.8,-90.738,-5579.5,-14400,-0.10043,1800,1
8,219,-0.1,1900,-3799.4,380.47,11779,36101,189.48,1900,2
9,220,-0.1,2000,-199.81,-100.31,-6199.6,-16001,-0.63842,2000,1
0,221,-0.1,2100,-209.04,-105.28,-6510.2,-16801,0.33811,2100,1
1,222,-0.1,2200,-4399.8,439.86,13641,41801,220.99,2200,2
2,223,-0.1,2300,-4599.4,459.66,14261,43701,230.92,2300,2
3,224,-0.1,2400,-239.47,-119.78,-7440.3,-19200,0.19998,2400,1
4,225,-0.1,2500,-249.07,-125.03,-7749.7,-20001,-0.62015,2500,1
5,226,-0.1,2600,-259.21,-129.83,-8061,-20800,-0.90948,2600,1
6,227,-0.1,2700,-5399.6,540.42,16740,51300,269.42,2700,2
7,228,-0.1,2800,-5599.1,560.03,17361,53200,279.96,2800,2
8,229,-0.1,2900,-5799.6,579.96,17980,55100,290.94,2900,2
9,230,-0.1,3000,-299.2,-150.52,-9300.5,-24001,0.96531,3000,1
0,231,-0.1,3100,-6199.3,620.13,19220,58900,310.99,3100,2
1,232,-0.1,3200,-6399.1,639.2,19840,60800,319.67,3200,2
2,233,-0.1,3300,-6599.1,660.26,20461,62700,329.6,3300,2
3,234,-0.1,3400,-6799.7,679.03,21079,64601,340.43,3400,2
4,235,-0.1,3500,-6999.4,700.66,21701,66501,350.29,3500,2
5,236,-0.1,3600,-7199,719.24,22321,68400,359.52,3600,2
6,237,-0.1,3700,-369.12,-185.91,-11471,-29601,0.035686,3700,1
7,238,-0.1,3800,-7599.6,759.8,23560,72200,379.15,3800,2
8,239,-0.1,3900,-389.73,-195.29,-12091,-31201,-0.77542,3900,1
9,240,-0.1,4000,-399.85,-200.47,-12399,-32001,0.01487,4000,1
0,241,-0.1,4100,-409.99,-204.16,-12709,-32801,0.74314,4100,1
1,242,-0.1,4200,-8399.9,840.44,26041,79800,419.49,4200,2
2,243,-0.1,4300,-8599.8,860.69,26660,81701,429.72,4300,2
3,244,-0.1,4400,-439.49,-220.98,-13641,-35200,-0.39834,4400,1
4,245,-0.1,4500,-449.82,-225.23,-13949,-36001,0.55942,4500,1
5,246,-0.1,4600,-459.63,-229.39,-14260,-36800,-0.28078,4600,1
6,247,-0.1,4700,-9399.5,939.77,29140,89301,470.32,4700,2
7,248,-0.1,4800,-9599.5,959.4,29759,91201,479.73,4800,2
8,249,-0.1,4900,-489.94,-245.87,-15189,-39200,0.82384,4900,1
9,250,-0.1,5000,-10000,1000.2,31000,95000,499.67,5000,2
0,251,-2.7756e-17,100,-87.263,-0.42843,0.8625,0.5997,-0.33785,100,1
