HIP,
20357,
20357,
19934,
19934,
20349,
20349,
20350,
20350,
21008,
21008,
20082,
20082,
20491,
20491,
22550,
22550,
20916,
20916,
20480,
20480,
20885,
20885,
20885,
20885,
20885,
20885,
20885,
20885,
20577,
20577,
20577,
20577,
20889,
20889,
20889,
20889,
20889,
20889,
20889,
20889,
19796,
19796,
20899,
20899,
20205,
20205,
20205,
20205,
20205,
20205,
20205,
20205,
20492,
20492,
19261,
19261,
19261,
19261,
20455,
20455,
20455,
20455,
20455,
20455,
20455,
20455,
20741,
20741,
20661,
20661,
28614,
28614,
20712,
20712,
20712,
20712,
20948,
20948,
15310,
15310,
20815,
20815,
20815,
20815,
19781,
19781,
20693,
20693,
20693,
20693,
21267,
21267,
21066,
21066,
21474,
21474,
23214,
23214,
21152,
21152,
21317,
21317,
19504,
19504,
20935,
20935,
20215,
20215,
22607,
22607,
22607,
22607,
18170,
18170,
20951,
20951,
21053,
21053,
20557,
20557,
18658,
18658,
19554,
19554,
20441,
20441,
13834,
13834,
20357,
20357,
19934,
19934,
20349,
20349,
20350,
20350,
21008,
21008,
20082,
20082,
20491,
20491,
22550,
22550,
20916,
20916,
20480,
20480,
20885,
20885,
20885,
20885,
20885,
20885,
20885,
20885,
20577,
20577,
20577,
20577,
20889,
20889,
20889,
20889,
20889,
20889,
20889,
20889,
19796,
19796,
20899,
20899,
20205,
20205,
20205,
20205,
20205,
20205,
20205,
20205,
20492,
20492,
19261,
19261,
19261,
19261,
20455,
20455,
20455,
20455,
20455,
20455,
20455,
20455,
20741,
20741,
20661,
20661,
28614,
28614,
20712,
20712,
20712,
20712,
20948,
20948,
15310,
15310,
20815,
20815,
20815,
20815,
19781,
19781,
20693,
20693,
20693,
20693,
21267,
21267,
21066,
21066,
21474,
21474,
23214,
23214,
21152,
21152,
21317,
21317,
19504,
19504,
20935,
20935,
20215,
20215,
22607,
22607,
22607,
22607,
18170,
18170,
20951,
20951,
21053,
21053,
20557,
20557,
18658,
18658,
19554,
19554,
20441,
20441,
13834,
13834,
