Periodo,Desocupacion,Actividad,subocupacion_no_demandante,empleo,subocupacion_demandante,provincia_id
20123,5.4,42.1,1.4,39.8,4.3,12
20124,3.9,40.3,0.5,38.7,3.7,12
20131,5.6,40.8,1.6,38.5,3.9,12
20032,0,0,0,0,0,12
20063,9.8,44.1,2.1,39.8,7.1,12
20064,7.2,45.3,2.1,42.1,7.7,12
20031,0,0,0,0,0,19
20033,0,0,0,0,0,19
20034,0,0,0,0,0,19
20041,0,0,0,0,0,19
20042,0,0,0,0,0,19
20043,0,0,0,0,0,19
20044,0,0,0,0,0,19
20051,0,0,0,0,0,19
20052,0,0,0,0,0,19
20053,0,0,0,0,0,19
20054,0,0,0,0,0,19
20061,0,0,0,0,0,19
20062,0,0,0,0,0,19
20071,1.9,41.2,0.8,40.4,5.5,19
20072,1.6,40.5,0.7,39.9,4.3,19
20073,1.3,43.2,1.0,42.6,4.9,19
20074,1.4,43.2,1.9,42.6,2.4,19
20081,1.5,41.2,0.6,40.6,2.9,19
20082,1.6,42.0,1.1,41.3,3.6,19
20083,1.0,42.8,1.8,42.4,3.2,19
20084,1.1,40.2,1.0,39.7,2.1,19
20091,2.7,40.2,0.3,39.1,1.8,19
20092,1.9,42.7,1.5,41.9,2.6,19
20093,2.7,41.7,1.9,40.6,3.6,19
20094,2.0,39.9,0.6,39.1,3.5,19
20101,2.2,40.0,0.6,39.1,4.0,19
20102,1.5,38.7,0.7,38.1,2.2,19
20103,1.8,38.4,0.6,37.7,2.7,19
20104,0.8,39.7,0.7,39.4,1.9,19
20111,2.1,39.4,0.5,38.6,3.1,19
20112,2.3,39.0,0.7,38.1,5.8,19
20113,1.9,38.9,0.5,38.2,2.8,19
20114,1.3,38.4,0.3,37.9,2.0,19
20121,1.9,39.8,0.5,39.1,0.9,19
20122,2.4,40.7,0.9,39.7,2.2,19
20123,2.6,39.8,1.2,38.8,2.3,19
20124,2.0,40.2,1.5,39.4,2.8,19
20131,2.0,40.5,0.1,39.7,2.1,19
20032,0,0,0,0,0,19
20063,2.1,42.0,2.0,41.2,5.3,19
20064,1.8,42.9,1.3,42.1,4.6,19
20031,16.9,44.3,4.4,36.8,12.3,13
20033,12.7,43.5,2.8,38.0,13.2,13
20034,12.4,42.4,2.3,37.1,13.7,13
20041,11.6,44.7,2.7,39.5,11.9,13
20042,10.9,45.3,2.2,40.3,9.3,13
20043,10.8,43.6,2.0,38.9,12.9,13
20044,7.2,41.9,2.3,38.9,10.4,13
20051,8.0,42.5,4.1,39.1,7.7,13
20052,7.6,42.3,3.8,39.1,9.1,13
20053,8.5,42.5,2.4,38.9,13.4,13
20054,6.3,43.3,1.9,40.5,9.9,13
20061,7.2,44.3,1.9,41.1,7.1,13
20062,6.7,47.3,6.2,44.2,7.8,13
20071,4.2,46.2,1.5,44.2,5.7,13
20072,3.5,45.8,1.1,44.2,8.3,13
