"","recno","TYCID1","TYCID2","TYCID3","RA_J2000","DE_J2000","pmRA","pmDE","BT","VT","V","BV","HD","HIP","Plx","indexcandidate","hyades","clusterNum"
"263",4425,63,1157,1,3.47291,5.40009,31.5,-28.6,10.863,10.149,10.085,0.607,"NULL","NULL",0,347,0,3
"265",4428,63,1305,1,3.41674,5.61765,55.4,1.1,11.175,10.174,10.084,0.851,"NULL","NULL",0,350,0,3
"272",4651,67,559,1,3.51697,4.05647,19.3,-30.9,10.899,10.165,10.099,0.624,"NULL","NULL",0,359,0,3
"275",4655,67,626,1,3.50695,4.13824,31.5,-5.8,11.578,10.552,10.46,0.872,"NULL","NULL",0,363,0,3
"281",4665,67,874,1,3.60488,4.83267,57.7,-19.1,11.488,10.366,10.265,0.954,"NULL","NULL",0,372,0,3
"284",4670,67,903,1,3.54302,3.93453,55.9,5.5,11.426,10.452,10.364,0.828,"NULL","NULL",0,377,0,3
"287",4673,67,938,1,3.64594,4.02498,-13.1,-47.7,11.765,10.786,10.698,0.832,"NULL","NULL",0,380,0,3
"291",4678,67,1091,1,3.62275,4.88531,64.9,-40.8,10.487,9.779,9.715,0.602,"NULL","NULL",0,385,0,3
"295",4682,67,1138,1,3.58207,4.05964,44.2,-60.1,11.472,10.661,10.588,0.689,"NULL","NULL",0,389,0,3
"299",4687,67,1359,1,3.56654,3.99578,45.1,-24.9,10.324,9.843,9.8,0.409,"NULL","NULL",0,393,0,3
"317",4730,68,495,1,3.70178,4.99326,100.8,-12.7,11.431,10.586,10.51,0.718,"NULL","NULL",0,413,0,3
"325",4740,68,847,1,3.68832,4.54937,21.9,-33,11.18,10.544,10.487,0.541,"NULL","NULL",0,423,0,3
"334",4753,68,1245,1,3.76057,4.59325,-10.7,-52.5,10.38,8.993,8.868,1.179,"NULL","NULL",0,435,0,3
"336",4758,68,1463,1,3.76692,4.56974,44.1,-47.2,11.282,10.13,10.026,0.979,"NULL","NULL",0,440,0,3
"343",4782,69,393,1,3.91368,4.76834,41.7,-26.8,11.322,10.904,10.866,0.355,"NULL","NULL",0,447,0,3
"360",4810,69,1128,1,3.84354,4.05967,27.3,-18.2,11.461,11.16,11.133,0.256,"NULL","NULL",0,471,0,3
"364",4815,70,28,1,3.52832,7.12963,15.3,-33.8,11.092,10.441,10.382,0.553,"NULL","NULL",0,475,0,3
"366",4820,70,241,1,3.53201,7.46807,42.9,-20.7,11.798,10.467,10.347,1.131,"NULL","NULL",0,480,0,3
"369",4824,70,336,1,3.55241,5.25067,94.3,46.2,11.402,10.753,10.695,0.552,"NULL","NULL",0,484,0,3
"371",4826,70,394,1,3.55158,5.4582,67.2,-54.2,10.164,9.463,9.4,0.596,"22018","NULL",0,486,0,3
"384",4840,70,671,1,3.56907,5.83715,-46.1,-118.8,11.099,10.153,10.068,0.804,"NULL","NULL",0,500,0,3
"386",4844,70,819,1,3.61395,6.41401,67.6,-39.6,10.893,9.929,9.842,0.819,"NULL","NULL",0,504,0,3
"393",4851,70,979,1,3.53916,6.33287,31,-22.3,11.363,10.752,10.697,0.519,"NULL","NULL",0,511,0,3
"394",4852,70,990,1,3.60819,5.34924,9.2,-45.4,10.77,9.627,9.524,0.972,"NULL","NULL",0,512,0,3
"395",4855,70,1068,1,3.58534,6.00628,74,-34.4,11.63,10.915,10.851,0.608,"NULL","NULL",0,515,0,3
"398",4858,70,1164,1,3.55538,5,24.6,-31.4,10.475,9.893,9.841,0.495,"NULL","NULL",0,518,0,3
"402",4862,70,1209,1,3.59321,7.37516,46.2,-30.1,11.316,10.458,10.381,0.729,"NULL","NULL",0,522,0,3
"412",4876,70,1311,1,3.64713,7.49832,4.3,-54,11.684,11.313,11.28,0.315,"NULL","NULL",0,536,0,3
"421",4889,71,148,1,3.73123,6.15296,-6.7,-104.7,10.997,10.266,10.2,0.621,"NULL","NULL",0,549,0,3
"424",4892,71,221,1,3.67916,6.17345,55.1,-9.3,11.366,10.424,10.339,0.801,"NULL","NULL",0,552,0,3
"430",4900,71,345,1,3.66877,5.87458,110.9,-0.4,11.221,10.115,10.015,0.94,"NULL","NULL",0,560,0,3
"437",4908,71,558,1,3.78787,5.86161,44.9,-57.9,11.101,10.408,10.346,0.589,"NULL","NULL",0,568,0,3
"442",4915,71,850,1,3.81727,5.98883,66,-101.3,10.463,9.738,9.673,0.616,"NULL","NULL",0,575,0,3
"443",4916,71,866,1,3.8125,5.03695,49.3,-11.3,10.144,9.682,9.64,0.393,"NULL","NULL",0,576,0,3
"444",4917,71,952,1,3.72651,7.0898,-18.1,-55.9,11.3,10.683,10.627,0.524,"NULL","NULL",0,577,0,3
"448",4923,71,1014,1,3.6739,5.13052,26.5,-36.8,11.07,10.266,10.194,0.683,"NULL","NULL",0,583,0,3
"449",4924,71,1019,1,3.69009,7.05463,31.7,-9.8,11.585,10.442,10.339,0.972,"NULL","NULL",0,584,0,3
"462",4937,71,1169,1,3.78599,7.05309,6.2,-73.3,11.341,10.31,10.217,0.876,"NULL","NULL",0,597,0,3
"474",4957,72,247,1,3.99599,7.33442,10.4,-29.5,11.408,10.642,10.573,0.651,"NULL","NULL",0,617,0,3
"480",4964,72,382,1,3.97594,6.14112,27.9,-15.3,10.582,9.813,9.744,0.654,"NULL","NULL",0,624,0,3
"486",4973,72,516,1,3.98476,7.26982,15.1,-22.7,10.886,10.279,10.224,0.516,"NULL","NULL",0,633,0,3
"489",4976,72,683,1,3.85104,5.01763,29.6,-45.4,11.222,10.441,10.371,0.664,"NULL","NULL",0,636,0,3
"490",4977,72,692,1,3.91226,5.01072,127.9,-28.9,9.845,9.04,8.968,0.684,"NULL","NULL",0,637,0,3
"496",4986,72,1056,1,3.84718,5.46254,79.6,-0.9,10.794,10.042,9.974,0.639,"NULL","NULL",0,646,0,3
"504",4996,72,1187,1,3.88534,7.10098,18.2,-23.6,11.287,9.937,9.816,1.148,"NULL","NULL",0,656,0,3
"514",5260,76,579,1,4.05172,4.81797,28.5,-29.3,10.839,9.347,9.213,1.268,"NULL","NULL",0,674,0,3
"518",5266,76,692,1,4.1642,3.79522,-5.8,-44.6,11.329,10.755,10.703,0.488,"NULL","NULL",0,679,0,3
"520",5268,76,709,1,4.15364,4.76117,111.9,-107.4,9.253,8.538,8.474,0.608,"26228","NULL",0,681,0,3
"526",5278,76,910,1,4.11814,4.32054,18.9,-35.5,11.535,10.748,10.677,0.669,"NULL","NULL",0,691,0,3
"541",5318,77,678,1,4.30687,4.47232,41.9,-64.5,9.889,9.027,8.949,0.733,"27260","NULL",0,712,0,3
"550",5328,77,761,1,4.25262,4.77492,-74.1,-99.2,10.336,9.439,9.358,0.762,"NULL","NULL",0,722,0,3
"554",5332,77,853,1,4.3299,3.88198,19.1,-26.2,11.499,10.568,10.484,0.791,"NULL","NULL",0,726,0,3
"560",5340,77,1007,1,4.31205,3.57349,-47.7,-164.3,11.707,10.381,10.262,1.127,"NULL","NULL",0,734,0,3
"566",5348,77,1101,1,4.24713,4.78815,35.9,-16.1,11.58,10.293,10.177,1.094,"NULL","NULL",0,741,0,3
"576",5394,78,841,1,4.47784,4.26182,52.1,-77.2,11.495,10.51,10.421,0.837,"NULL","NULL",0,754,0,3
"584",5403,78,1076,1,4.4737,4.13356,17,-26.3,11.105,10.657,10.617,0.381,"NULL","NULL",0,763,0,3
"587",5406,78,1146,1,4.42568,4.77071,36.1,-4,10.834,10.27,10.219,0.479,"NULL","NULL",0,766,0,3
"615",5442,79,153,1,4.02251,6.41741,22.1,-22.5,12.123,11.087,10.994,0.881,"NULL","NULL",0,800,0,3
"632",5465,79,780,1,4.06537,6.56189,26.6,-14.9,10.182,9.474,9.41,0.602,"NULL","NULL",0,823,0,3
"639",5476,79,998,1,4.14045,5.14254,25.4,-15.7,11.158,10.372,10.301,0.668,"NULL","NULL",0,834,0,3
"645",5482,79,1151,1,4.01269,5.66809,17.9,-21.3,11.219,10.646,10.594,0.487,"NULL","NULL",0,840,0,3
"651",5490,80,85,1,4.19771,7.43529,27.9,-20.8,11.4,10.87,10.822,0.451,"NULL","NULL",0,848,0,3
"652",5492,80,113,1,4.21111,6.37171,55.2,-42.7,11.593,10.665,10.581,0.789,"NULL","NULL",0,850,0,3
"658",5500,80,276,1,4.2358,6.49401,18.2,-38.6,10.659,9.81,9.734,0.722,"NULL","NULL",0,858,0,3
"659",5502,80,317,1,4.26179,6.21539,-15,-130.7,11.032,10.126,10.044,0.77,"NULL","NULL",0,860,0,3
"667",5511,80,420,1,4.20248,5.1958,-10.7,-138.3,9.822,8.969,8.892,0.725,"26555","NULL",0,869,0,3
"682",5530,80,977,1,4.1755,5.90026,99,-38.3,11.292,10.51,10.44,0.665,"NULL","NULL",0,888,0,3
"686",5535,80,1019,1,4.24068,5.18057,89.7,13.9,10.624,9.553,9.457,0.91,"NULL","NULL",0,893,0,3
"698",5553,81,7,1,4.33969,6.30713,0.4,-45.6,10.926,10.386,10.337,0.459,"NULL","NULL",0,911,0,3
"699",5554,81,83,1,4.33999,5.95085,11.9,-37.8,11.774,10.678,10.579,0.932,"NULL","NULL",0,912,0,3
"701",5557,81,179,1,4.42282,7.31435,33.1,-4.2,10.814,10.08,10.014,0.624,"NULL","NULL",0,915,0,3
"707",5564,81,315,1,4.41139,7.44279,24.6,-24.3,11.704,10.619,10.521,0.922,"NULL","NULL",0,922,0,3
"711",5569,81,397,1,4.36134,7.23699,27.1,-20.2,11.216,10.297,10.214,0.781,"NULL","NULL",0,927,0,3
"717",5576,81,570,1,4.37236,5.33252,40.6,-39.6,11.178,9.865,9.747,1.116,"NULL","NULL",0,934,0,3
"723",5587,81,866,1,4.46094,5.39971,30.9,-8.4,11.082,10.393,10.331,0.586,"NULL","NULL",0,945,0,3
"729",5593,81,1030,1,4.35366,6.23317,105.1,-45.8,9.59,8.792,8.72,0.678,"27562","NULL",0,951,0,3
"736",5602,81,1287,1,4.39745,7.00389,58.2,-16.5,10.508,10.027,9.984,0.409,"NULL","NULL",0,960,0,3
"738",5604,81,1326,1,4.4927,5.75318,35.3,-17.4,11.62,10.823,10.751,0.677,"NULL","NULL",0,962,0,3
"739",5605,81,1332,1,4.43089,6.07857,33,-9.6,9.957,9.219,9.153,0.627,"NULL","NULL",0,963,0,3
"742",5608,81,1400,1,4.40293,6.11054,26.1,-15,10.434,9.948,9.904,0.413,"NULL","NULL",0,966,0,3
"747",5614,81,1527,1,4.42231,5.0823,23.1,-9.3,10.066,9.391,9.33,0.574,"NULL","NULL",0,972,0,3
"764",6009,86,747,1,4.57594,3.68566,74.4,15.1,11.082,10.354,10.288,0.619,"NULL","NULL",0,995,0,3
"765",6010,86,784,1,4.53431,3.56399,-14.9,-81.9,11.858,11.215,11.157,0.547,"NULL","NULL",0,996,0,3
"768",6013,86,880,1,4.61253,3.6397,47.6,-68,12.225,10.863,10.74,1.158,"NULL","NULL",0,999,0,3
"771",6017,86,974,1,4.60204,3.42183,51.8,-0.2,11.112,10.331,10.261,0.664,"NULL","NULL",0,1002,0,3
"778",6068,87,1034,1,4.72201,3.59788,44,-26.6,11.607,10.778,10.703,0.705,"NULL","NULL",0,1010,0,3
"783",6075,87,1169,1,4.70378,3.70436,96.1,34.8,12.086,11.012,10.915,0.913,"NULL","NULL",0,1016,0,3
"784",6076,87,1213,1,4.73844,3.43053,-15.4,-108.6,11.938,10.63,10.512,1.112,"NULL","NULL",0,1017,0,3
"788",6150,88,1191,1,4.86061,3.47978,23.6,-103.8,10.765,9.89,9.811,0.744,"NULL","NULL",0,1021,0,3
"809",6219,89,745,1,4.96057,3.4515,63.8,-86.6,11.795,10.624,10.519,0.995,"NULL","NULL",0,1046,0,3
"822",6272,90,164,1,4.61216,4.10818,36.2,-7.8,11.988,10.633,10.511,1.152,"NULL","NULL",0,1060,0,3
"824",6274,90,211,1,4.58154,4.99327,21.7,-19.7,10.477,9.119,8.997,1.154,"29081","NULL",0,1062,0,3
