"","recno","TYCID1","TYCID2","TYCID3","RA_J2000","DE_J2000","pmRA","pmDE","BT","VT","V","BV","HD","HIP","Plx","indexcandidate","hyades","clusterNum"
"1418",7772,105,2231,1,5.42767,3.62128,22.8,-28.3,11.705,11.124,11.072,0.494,"NULL","NULL",0,1722,0,3
"1428",7792,106,9,1,5.02043,5.57482,-6.6,-141.1,11.235,10.373,10.295,0.733,"NULL","NULL",0,1734,0,3
"1460",7827,106,489,1,5.03546,4.99226,-24.6,-77.4,10.593,9.909,9.847,0.581,"NULL","NULL",0,1769,0,3
"1462",7829,106,507,1,5.02956,4.74341,-2.6,-48,11.055,10.467,10.414,0.5,"NULL","NULL",0,1771,0,3
"1463",7830,106,514,1,5.03867,4.03615,28.6,-24,11.022,10.362,10.303,0.561,"NULL","NULL",0,1772,0,3
"1465",7832,106,557,1,5.03243,4.3692,29.9,-9.7,10.755,10.325,10.286,0.366,"NULL","NULL",0,1774,0,3
"1473",7840,106,719,1,5.04501,4.59829,42.5,-63.9,9.708,9.129,9.077,0.492,"32351","NULL",0,1782,0,3
"1478",7846,106,776,1,5.07661,4.04635,29,-20.7,11.411,10.568,10.492,0.717,"NULL","NULL",0,1788,0,3
"1485",7853,106,847,1,5.05916,4.4015,25.9,-34.5,10.077,9.397,9.336,0.578,"32464","NULL",0,1795,0,3
"1498",7867,106,1064,1,5.01073,4.43073,33.9,-16.5,10.425,9.824,9.77,0.511,"NULL","NULL",0,1809,0,3
"1530",7903,107,295,1,5.23709,4.65704,2.7,-59.7,10.769,10.01,9.942,0.645,"NULL","NULL",0,1845,0,3
"1540",7913,107,555,1,5.14221,4.37804,-32.4,-71.6,11.005,10.205,10.133,0.68,"NULL","NULL",0,1855,0,3
"1548",7921,107,842,1,5.23599,5.16559,44.9,-42.8,11.807,10.664,10.561,0.972,"NULL","NULL",0,1863,0,3
"1583",7960,107,1845,1,5.24885,4.08093,33.7,-11.6,11.722,10.956,10.887,0.651,"NULL","NULL",0,1902,0,3
"1599",7978,107,2176,1,5.15404,3.79717,33.8,-49.3,10.545,9.826,9.761,0.611,"NULL","NULL",0,1920,0,3
"1627",8009,108,614,1,5.25174,5.36159,6.9,-130.7,9.69,8.905,8.834,0.667,"34097","NULL",0,1951,0,3
"1639",8021,108,837,1,5.3235,4.17097,82.1,-32.4,11.917,11.222,11.159,0.591,"NULL","NULL",0,1963,0,3
"1651",8035,108,1128,1,5.30947,5.01696,154.5,-127.3,9.226,8.525,8.462,0.596,"34549","NULL",0,1977,0,3
"1668",8052,108,1414,1,5.32107,5.2496,18.2,-41.4,11.602,11.007,10.953,0.506,"NULL","NULL",0,1994,0,3
"1694",8086,108,2158,1,5.33773,5.4142,49.3,-73.5,11.755,10.83,10.747,0.786,"NULL","NULL",0,2028,0,3
"1709",8103,109,39,1,5.43363,3.82051,33.5,-71.7,11.135,10.133,10.043,0.852,"NULL","NULL",0,2045,0,3
"1730",8127,109,512,1,5.47753,5.43353,29,-6.1,11.022,10.133,10.053,0.756,"NULL","NULL",0,2069,0,3
"1733",8130,109,530,1,5.39138,5.21748,43.8,-49.9,11.938,10.635,10.518,1.108,"NULL","NULL",0,2072,0,3
"1759",8159,109,1222,1,5.45517,5.09711,50.1,-17.7,10.081,8.869,8.76,1.03,"35772","NULL",0,2101,0,3
"1771",8173,109,1616,1,5.42155,5.30927,39.6,-22.5,10.662,10.092,10.041,0.485,"NULL","NULL",0,2115,0,3
"1773",8175,109,1627,1,5.47079,4.4691,0.8,-45.2,8.896,8.49,8.453,0.345,"35924","NULL",0,2117,0,3
"1804",8207,109,2474,1,5.42071,4.19673,5.2,-29.1,9.174,8.684,8.64,0.417,"35499","NULL",0,2149,0,3
"1823",8228,110,42,1,5.03075,6.60724,27.8,-74.2,12.066,11.048,10.956,0.865,"NULL","NULL",0,2170,0,3
"1827",8234,110,101,1,5.05356,7.2106,-1.4,-40.9,9.354,8.77,8.717,0.496,"32392","NULL",0,2176,0,3
"1831",8239,110,179,1,5.03544,6.129,31.5,-16,9.773,9.103,9.043,0.57,"32272","NULL",0,2181,0,3
"1832",8240,110,212,1,5.08219,6.79976,17.8,-19.6,11.167,10.481,10.419,0.583,"NULL","NULL",0,2182,0,3
"1836",8245,110,280,1,5.03138,6.70021,46.4,-10.9,11.671,10.766,10.685,0.769,"NULL","NULL",0,2187,0,3
"1879",8292,110,811,1,5.12456,6.29883,6.2,-42.1,11.596,10.973,10.917,0.53,"NULL","NULL",0,2234,0,3
"1883",8296,110,857,1,5.01593,5.97629,33.7,-31.4,12.211,10.854,10.732,1.153,"NULL","NULL",0,2238,0,3
"1896",8309,110,994,1,5.10604,7.30233,54,-35.7,11.555,10.786,10.717,0.654,"NULL","NULL",0,2251,0,3
"1898",8311,110,1025,1,5.10097,6.09941,-35.3,-76.5,10.191,9.735,9.694,0.388,"32814","NULL",0,2253,0,3
"1907",8321,110,1143,1,5.1053,6.72775,36.7,-16.7,11.77,10.912,10.835,0.729,"NULL","NULL",0,2263,0,3
"1916",8331,110,1221,1,5.02038,7.27087,40.7,1.4,12.056,10.947,10.847,0.943,"NULL","NULL",0,2273,0,3
"1920",8335,111,21,1,5.13101,7.15918,5.9,-37.9,10.148,8.832,8.714,1.119,"33046","NULL",0,2277,0,3
"1921",8336,111,28,1,5.1252,7.00533,-15.2,-127.6,11.711,10.585,10.484,0.957,"NULL","NULL",0,2278,0,3
"1942",8359,111,563,1,5.17967,6.90023,26.1,-24.6,9.573,9.124,9.084,0.382,"33468","NULL",0,2301,0,3
"1954",8372,111,815,1,5.21369,6.64326,-7.6,-45.4,11.874,11,10.921,0.743,"NULL","NULL",0,2314,0,3
"1969",8387,111,1175,1,5.18691,6.58246,-6.1,-39.3,10.668,9.89,9.82,0.661,"NULL","NULL",0,2329,0,3
"1981",8400,111,1438,1,5.19874,5.71605,49.6,6.3,11.705,10.574,10.472,0.961,"NULL","NULL",0,2342,0,3
"1997",8418,111,2237,1,5.2335,7.11927,22.3,-18.4,10.639,9.941,9.878,0.593,"NULL","NULL",0,2360,0,3
"2015",8441,112,683,1,5.27999,6.55484,65.4,-21,10.495,9.979,9.933,0.439,"NULL","NULL",0,2383,0,3
"2020",8446,112,719,1,5.27915,6.46759,15.2,-31.8,11.059,10.089,10.002,0.824,"NULL","NULL",0,2388,0,3
"2022",8448,112,751,1,5.33439,7.45131,12.3,-36.8,11.908,11.185,11.12,0.615,"NULL","NULL",0,2390,0,3
"2024",8450,112,781,1,5.32958,6.68373,22.1,-22.7,11.513,11.067,11.027,0.379,"NULL","NULL",0,2392,0,3
"2034",8462,112,991,1,5.367,7.01413,-3.5,-47.7,8.817,7.564,7.451,1.065,"35017","NULL",0,2404,0,3
"2042",8471,112,1185,1,5.34533,7.39614,37.3,-1.2,9.663,9.297,9.264,0.311,"34845","NULL",0,2413,0,3
"2070",8500,112,1788,1,5.31584,6.03359,10.7,-26.8,10.203,9.023,8.917,1.003,"34606","NULL",0,2442,0,3
"2113",8544,113,449,1,5.44634,6.92448,19.5,-17.4,10.986,10.182,10.11,0.683,"NULL","NULL",0,2486,0,3
"2120",8551,113,513,1,5.37507,7.17505,27.8,-54.4,9.629,8.393,8.282,1.051,"35091","NULL",0,2493,0,3
"2126",8559,113,635,1,5.3764,6.42002,17.2,-30,11.682,11.011,10.951,0.57,"NULL","NULL",0,2501,0,3
"2131",8565,113,844,1,5.49462,6.82794,65.2,-90.7,9.422,8.856,8.805,0.481,"36114","NULL",0,2507,0,3
"2132",8566,113,852,1,5.46357,6.47815,8.2,-75.4,10.52,10.028,9.984,0.418,"NULL","NULL",0,2508,0,3
"2154",8589,113,1478,1,5.45364,6.96635,16,-16,9.945,9.379,9.328,0.481,"35747","NULL",0,2531,0,3
"2160",8595,113,1598,1,5.44779,6.47298,10.9,-33.4,9.965,9.297,9.237,0.568,"35695","NULL",0,2537,0,3
"2171",9036,118,1888,1,5.54238,3.43832,21.5,-28.2,9.847,9.545,9.518,0.257,"36537","NULL",0,2548,0,3
"2174",9040,118,1951,1,5.51994,3.59842,13.4,-32.8,10.854,10.216,10.159,0.542,"NULL","NULL",0,2551,0,3
"2179",9049,118,2046,1,5.57518,3.69891,23.7,-37.6,11.8,11.088,11.024,0.605,"NULL","NULL",0,2556,0,3
"2183",9065,118,2313,1,5.51307,3.52744,36.7,-116.6,10.044,8.959,8.861,0.922,"36268","NULL",0,2562,0,3
"2192",9122,119,1446,1,5.63922,3.54331,5.8,-42,11.055,10.256,10.184,0.679,"NULL","NULL",0,2571,0,3
"2194",9127,119,1531,1,5.68127,3.48753,12.6,-58.2,11.254,10.602,10.543,0.554,"NULL","NULL",0,2574,0,3
"2195",9128,119,1532,1,5.71463,3.56598,13.8,-43.4,9.806,8.674,8.572,0.962,"38039","NULL",0,2575,0,3
"2205",9210,120,1327,1,5.7715,3.72948,17.3,-19.3,11.415,10.468,10.383,0.805,"NULL","NULL",0,2589,0,3
"2219",9264,122,96,1,5.56638,5.48327,16.3,-28.1,11.202,9.713,9.579,1.266,"NULL","NULL",0,2605,0,3
"2243",9291,122,464,1,5.52733,4.53565,93.5,-89.2,9.026,8.423,8.369,0.513,"36391","NULL",0,2632,0,3
"2261",9311,122,826,1,5.6249,3.89311,36,-10.2,11.601,10.649,10.563,0.809,"NULL","NULL",0,2652,0,3
"2272",9323,122,980,1,5.54873,4.51328,46.3,-28.8,10.709,9.903,9.83,0.685,"NULL","NULL",0,2664,0,3
"2275",9326,122,1026,1,5.58151,4.45323,24.5,-51.2,10.78,9.573,9.464,1.026,"NULL","NULL",0,2667,0,3
"2283",9334,122,1118,1,5.55593,4.10023,131.3,-51.8,12.4,10.745,10.596,1.407,"244872","NULL",0,2675,0,3
"2320",9377,123,182,1,5.64297,4.9827,4.3,-64.7,11.913,11.431,11.388,0.41,"NULL","NULL",0,2718,0,3
"2325",9382,123,276,1,5.73544,4.84958,32.2,-15.4,11.093,10.462,10.405,0.536,"NULL","NULL",0,2723,0,3
"2354",9424,123,970,1,5.6798,3.82972,49.3,-52.8,11.306,10.19,10.09,0.949,"NULL","NULL",0,2765,0,3
"2364",9436,123,1262,1,5.64177,4.07789,13.5,-67.9,10.331,9.087,8.975,1.057,"245898","NULL",0,2777,0,3
"2384",9460,124,479,1,5.87331,5.30421,-5.3,-41.6,8.578,8.195,8.161,0.326,"39375","NULL",0,2801,0,3
"2425",9510,124,1367,1,5.84751,3.8291,40.3,-52.7,10.595,9.976,9.92,0.526,"NULL","NULL",0,2851,0,3
"2426",9511,124,1380,1,5.80419,3.89895,-30.8,-64.9,8.236,7.745,7.701,0.417,"38767","NULL",0,2852,0,3
"2431",9520,125,16,1,5.94261,4.77018,-89,-127.7,11.375,10.477,10.396,0.763,"NULL","NULL",0,2861,0,3
"2438",9530,125,251,1,5.92705,5.60588,8.9,-42.4,10.355,9.708,9.65,0.55,"NULL","NULL",0,2871,0,3
"2447",9540,125,468,1,5.88032,4.40974,-17.2,-57.2,11.465,10.397,10.301,0.908,"NULL","NULL",0,2881,0,3
"2460",9556,125,747,1,5.96496,5.42218,-19.8,-136.8,11.515,10.738,10.668,0.66,"NULL","NULL",0,2897,0,3
"2465",9561,125,835,1,5.96449,4.84712,0.6,-92.5,11.563,11.011,10.961,0.469,"NULL","NULL",0,2902,0,3
"2473",9571,126,3,1,5.55033,7.18625,38.4,-20.4,12.199,11.391,11.318,0.687,"NULL","NULL",0,2912,0,3
"2481",9581,126,188,1,5.53277,5.76357,24.7,-24.5,11.991,11.112,11.033,0.747,"NULL","NULL",0,2922,0,3
"2496",9597,126,467,1,5.55878,6.96189,10.2,-28,11.465,10.636,10.561,0.705,"NULL","NULL",0,2938,0,3
"2502",9604,126,585,1,5.57234,6.94315,7.3,-36.6,11.215,10.672,10.623,0.462,"NULL","NULL",0,2945,0,3
"2504",9607,126,610,1,5.5344,6.01601,31.6,-53.2,10.697,10.011,9.949,0.583,"NULL","NULL",0,2948,0,3
"2515",9621,126,752,1,5.61542,6.64947,3.8,-65.2,11.961,10.964,10.874,0.847,"NULL","NULL",0,2962,0,3
"2520",9627,126,859,1,5.55524,5.81971,-9,-85.9,11.926,11.131,11.059,0.676,"NULL","NULL",0,2968,0,3
"2530",9637,126,1078,1,5.52103,5.66289,9.1,-31,9.048,8.587,8.546,0.392,"36338","NULL",0,2978,0,3
"2546",9659,127,38,1,5.71272,5.84451,23.7,-73.6,9.155,7.8,7.678,1.152,"38000","NULL",0,3000,0,3
"2552",9665,127,124,1,5.68891,6.09538,45.8,-50.1,10.546,9.259,9.143,1.094,"37787","NULL",0,3006,0,3
"2561",9676,127,266,1,5.74672,6.11843,13.7,-90.8,10.779,10.04,9.973,0.628,"NULL","NULL",0,3017,0,3
"2566",9681,127,375,1,5.73197,7.40512,40.8,-30.5,11.346,10.019,9.9,1.128,"NULL","NULL",0,3022,0,3
"2568",9683,127,377,1,5.66633,7.1418,5.9,-110.4,10.612,9.631,9.543,0.834,"246155","NULL",0,3024,0,3
"2581",9702,127,715,1,5.73472,6.95436,15.5,-29,11.999,10.63,10.507,1.164,"NULL","NULL",0,3043,0,3
"2583",9704,127,720,1,5.68752,5.70413,24.5,-18.5,11.233,10.382,10.305,0.723,"NULL","NULL",0,3045,0,3
"2593",9716,127,852,1,5.63666,6.00349,2.8,-68.8,9.151,7.333,7.169,1.545,"37341","NULL",0,3057,0,3
"2604",9727,127,1004,1,5.7019,6.60927,58,-29.4,10.907,9.763,9.66,0.972,"246596","NULL",0,3068,0,3
"2607",9731,127,1067,1,5.6728,6.66614,24.9,-22.9,9.816,8.623,8.516,1.014,"37651","NULL",0,3072,0,3
"2612",9737,128,154,1,5.81212,5.82138,14.6,-89.9,11.164,10.461,10.398,0.598,"NULL","NULL",0,3078,0,3
"2627",9754,128,379,1,5.84144,7.12624,45.9,-80.8,10.32,9.701,9.645,0.526,"39081","NULL",0,3095,0,3
"2636",9764,128,615,1,5.76412,6.62791,5.8,-27.2,10.064,9.534,9.486,0.45,"38404","NULL",0,3105,0,3
"2647",9775,128,884,1,5.82522,6.88956,31.2,-30.3,9.871,9.414,9.373,0.388,"38927","NULL",0,3116,0,3
"2658",9786,128,1066,1,5.75027,6.52903,41.4,-32.2,11.717,10.805,10.723,0.775,"NULL","NULL",0,3127,0,3
"2663",9791,128,1099,1,5.77982,6.38385,49.5,-81.4,11.093,9.878,9.769,1.033,"NULL","NULL",0,3132,0,3
"2704",9841,129,1227,1,5.96372,7.49542,22.1,-33,10.35,9.865,9.821,0.412,"40229","NULL",0,3182,0,3
"2709",9848,129,1465,1,5.98528,7.0239,11.7,-22.7,10.806,10.031,9.961,0.659,"NULL","NULL",0,3189,0,3
"2737",10590,138,140,1,6.03333,4.61788,-18.9,-61.7,11.466,10.73,10.664,0.626,"NULL","NULL",0,3220,0,3
"2742",10595,138,290,1,6.0608,4.31399,4.6,-28.1,8.207,8.059,8.046,0.126,"41191","NULL",0,3225,0,3
"2754",10611,138,718,1,6.04715,4.28533,14.3,-51.7,11.64,10.866,10.796,0.658,"NULL","NULL",0,3239,0,3
"2789",11025,142,419,1,6.0782,7.29764,30.3,-76.2,10.329,9.216,9.116,0.946,"251266","NULL",0,3281,0,3
"2793",11031,142,587,1,6.04583,6.91175,-27.9,-137.6,11.843,11.038,10.966,0.684,"NULL","NULL",0,3285,0,3
"2804",11046,142,954,1,6.02997,5.87555,29.9,-45.2,10.434,9.906,9.858,0.449,"NULL","NULL",0,3297,0,3
"2816",11059,142,1187,1,6.01709,7.01871,33.7,-27.5,11.344,10.661,10.6,0.581,"NULL","NULL",0,3309,0,3
"2836",11087,142,1804,1,6.08602,6.44832,132.5,-150,11.431,10.445,10.356,0.838,"NULL","NULL",0,3330,0,3
"2847",51970,641,180,1,3.04058,8.41704,94.2,-12.2,11.57,10.918,10.859,0.554,"NULL","NULL",0,3346,0,3
"2849",51972,641,233,1,3.00448,8.59465,92.1,-24.3,11.997,10.757,10.645,1.054,"NULL","NULL",0,3348,0,3
"2850",51975,641,285,1,2.94086,7.78022,128.2,19.3,11.336,10.165,10.06,0.995,"NULL","NULL",0,3351,0,3
"2852",51978,641,318,1,3.04704,8.49428,125.9,-49,10.702,10.077,10.021,0.531,"NULL","NULL",0,3354,0,3
"2854",51981,641,358,1,3.03448,7.97973,15.3,-38.1,12.115,10.466,10.318,1.402,"NULL","NULL",0,3357,0,3
"2859",51986,641,454,1,2.92069,9.1118,31.1,-24.6,10.727,10.094,10.037,0.538,"NULL","NULL",0,3362,0,3
"2864",51993,641,587,1,3.00339,7.51789,51.8,-27.5,9.979,9.713,9.689,0.226,"NULL","NULL",0,3369,0,3
"2865",51994,641,588,1,2.92892,7.98116,49.6,-35.2,11.537,10.763,10.693,0.658,"NULL","NULL",0,3370,0,3
"2868",51998,641,664,1,3.03223,8.71585,-11.9,-64.1,11.494,10.692,10.62,0.682,"NULL","NULL",0,3374,0,3
"2875",52006,641,749,1,2.99701,9.65017,-6,-81.1,10.924,10.009,9.927,0.778,"NULL","NULL",0,3381,0,3
"2878",52012,641,928,1,2.93786,9.7656,179,9.8,11.423,10.684,10.617,0.628,"NULL","NULL",0,3387,0,3
"2881",52015,641,968,1,2.91292,9.77239,34.9,-5.9,11.962,10.989,10.901,0.827,"NULL","NULL",0,3390,0,3
"2895",52174,644,326,1,3.05217,10.1012,46.1,-60.6,10.239,9.542,9.479,0.592,"NULL","NULL",0,3415,0,3
"2903",52183,644,554,1,2.96821,11.2984,-6.2,-44.1,12.377,11.084,10.968,1.099,"NULL","NULL",0,3424,0,3
"2905",52185,644,571,1,2.97989,11.2523,26.1,-39.3,11.642,10.231,10.104,1.199,"NULL","NULL",0,3426,0,3
"2907",52188,644,621,1,3.05614,11.4548,80.5,-17.4,10.251,9.381,9.303,0.739,"18965","NULL",0,3429,0,3
"2908",52189,644,628,1,2.92778,10.0185,-40.2,-139.5,11.064,10.225,10.149,0.713,"NULL","NULL",0,3430,0,3
"2911",52193,644,643,1,3.03004,10.8469,38.4,-29.8,9.938,9.42,9.373,0.44,"NULL","NULL",0,3434,0,3
"2919",52337,647,111,1,2.99181,12.5737,28.1,-22.7,11.087,10.407,10.346,0.578,"NULL","NULL",0,3448,0,3
"2925",52344,647,151,1,3.04657,14.0829,28.9,-29.4,11.258,10.658,10.604,0.51,"NULL","NULL",0,3455,0,3
"2926",52346,647,169,1,2.9856,14.4338,40.3,-3,11.743,10.621,10.52,0.954,"NULL","NULL",0,3457,0,3
"2927",52348,647,176,1,3.00198,13.0602,73.4,-5.9,11.043,10.377,10.317,0.566,"NULL","NULL",0,3458,0,3
"2929",52350,647,186,1,2.90484,13.1308,42.6,6.5,10.555,9.891,9.831,0.564,"NULL","NULL",0,3460,0,3
"2932",52354,647,235,1,2.95301,13.5982,-9.1,-66.7,12.061,11.271,11.2,0.671,"NULL","NULL",0,3464,0,3
"2945",52373,647,524,1,2.98363,13.0252,23.9,-23.4,10.245,9.63,9.575,0.523,"NULL","NULL",0,3479,0,3
"2948",52376,647,550,1,2.96001,14.0214,57.9,-79.8,11.124,10.065,9.97,0.9,"NULL","NULL",0,3482,0,3
"2950",52378,647,570,1,3.06356,14.2693,13.8,-40.4,11.397,10.834,10.783,0.479,"NULL","NULL",0,3484,0,3
"2957",52388,647,694,1,2.9088,14.0486,52.3,-15.1,10.514,9.833,9.772,0.579,"NULL","NULL",0,3494,0,3
"2959",52390,647,707,1,2.91409,14.0227,76,-40.8,10.831,9.979,9.902,0.724,"NULL","NULL",0,3496,0,3
"2960",52391,647,757,1,3.0448,13.0705,33.5,-26.9,11.69,10.768,10.685,0.784,"NULL","NULL",0,3497,0,3
"2974",52408,648,134,1,3.21826,8.13006,48.7,-17.4,11.027,10.221,10.148,0.685,"NULL","NULL",0,3513,0,3
"2978",52412,648,239,1,3.18512,8.72205,68.2,-50.1,8.874,8.487,8.452,0.329,"19759","NULL",0,3517,0,3
"3003",52445,648,1000,1,3.06512,9.75338,26.7,-44.6,11.278,10.319,10.233,0.815,"NULL","NULL",0,3550,0,3
"3004",52446,648,1022,1,3.09439,9.89129,42.6,-27.2,11.09,9.524,9.383,1.331,"NULL","NULL",0,3551,0,3
"3007",52452,648,1252,1,3.20952,9.74919,61.6,-88.3,11.722,10.452,10.338,1.08,"NULL","NULL",0,3557,0,3
"3023",52471,649,553,1,3.37961,8.57158,19.3,-21.1,11.561,10.806,10.738,0.642,"NULL","NULL",0,3576,0,3
"3036",52486,649,1034,1,3.29766,9.38854,59.2,-6.6,11.829,10.763,10.667,0.906,"NULL","NULL",0,3591,0,3
"3042",52494,649,1333,1,3.24537,9.78907,33.4,-32.7,9.363,8.929,8.89,0.369,"NULL","NULL",0,3599,0,3
"3044",52497,649,1431,1,3.29071,9.88328,71.5,16.2,10.259,9.447,9.374,0.69,"NULL","NULL",0,3602,0,3
"3046",52499,649,1622,1,3.35663,8.05199,124.7,-26.4,11.102,10.065,9.972,0.881,"NULL","NULL",0,3604,0,3
"3047",52500,650,98,1,3.54807,9.8189,52.2,14.2,11.386,10.564,10.49,0.699,"NULL","NULL",0,3605,0,3
"3051",52505,650,272,1,3.44547,8.90046,49.9,-12,10.901,10.28,10.224,0.528,"NULL","NULL",0,3610,0,3
"3067",52528,650,1037,1,3.53182,7.89634,32.5,-32,11.97,10.615,10.493,1.152,"NULL","NULL",0,3633,0,3
"3068",52529,650,1051,1,3.5082,9.09725,41.7,-10.1,11.483,10.593,10.513,0.757,"NULL","NULL",0,3634,0,3
"3069",52531,650,1104,1,3.46568,7.63292,21.3,-23.8,11.482,10.715,10.646,0.652,"NULL","NULL",0,3636,0,3
"3074",52539,650,1422,1,3.5513,8.99111,45.7,-41.5,11.726,9.857,9.689,1.589,"NULL","NULL",0,3644,0,3
"3083",52556,651,95,1,3.06612,10.7099,51.9,-26.4,11.706,10.503,10.395,1.023,"NULL","NULL",0,3661,0,3
"3084",52558,651,122,1,3.0684,12.4278,37.1,-119.6,11.151,10.377,10.307,0.658,"NULL","NULL",0,3663,0,3
"3088",52562,651,140,1,3.1257,11.4842,72.9,-22.9,11.129,10.508,10.452,0.528,"NULL","NULL",0,3667,0,3
"3102",52578,651,585,1,3.21761,10.8877,4.9,-60.6,9.728,9.117,9.062,0.519,"NULL","NULL",0,3683,0,3
"3103",52580,651,719,1,3.15356,12.4522,61.1,-22.4,10.063,9.421,9.363,0.546,"NULL","NULL",0,3685,0,3
"3106",52586,651,993,1,3.15322,10.2129,-13.4,-49.6,11.214,10.371,10.295,0.717,"NULL","NULL",0,3691,0,3
"3107",52587,651,997,1,3.16158,12.4681,-9.9,-51.6,11.638,10.326,10.208,1.115,"NULL","NULL",0,3692,0,3
"3109",52589,651,1010,1,3.23355,11.4503,39.1,-15.9,11.677,10.975,10.912,0.597,"NULL","NULL",0,3694,0,3
"3113",52596,651,1191,1,3.14723,10.9935,18,-43.5,11.286,10.399,10.319,0.754,"NULL","NULL",0,3701,0,3
"3115",52598,651,1222,1,3.18918,11.2537,57.2,19.6,11.233,10.367,10.289,0.736,"NULL","NULL",0,3703,0,3
"3118",52606,652,218,1,3.32051,12.4521,50.5,-9.4,10.698,8.441,8.238,1.918,"NULL","NULL",0,3711,0,3
"3121",52613,652,518,1,3.36587,10.0081,7.9,-95.1,11.759,10.629,10.527,0.961,"NULL","NULL",0,3718,0,3
"3124",52616,652,586,1,3.2442,12.269,150.1,-38.9,11.161,10.056,9.957,0.939,"NULL","NULL",0,3721,0,3
"3125",52617,652,617,1,3.28725,11.2962,82.6,-70.2,11.338,10.454,10.374,0.751,"NULL","NULL",0,3722,0,3
"3127",52620,652,687,1,3.4021,10.0923,73.4,0.4,11.495,10.559,10.475,0.796,"NULL","NULL",0,3725,0,3
"3128",52622,652,769,1,3.36201,12.1012,13.2,-43,10.129,9.465,9.405,0.564,"NULL","NULL",0,3727,0,3
"3134",52631,653,184,1,3.57096,10.6367,38.3,-26.9,11.276,10.759,10.712,0.439,"NULL","NULL",0,3736,0,3
"3141",52640,653,429,1,3.56667,11.3955,46.9,-13.5,11.329,9.662,9.512,1.417,"NULL","NULL",0,3745,0,3
"3143",52642,653,551,1,3.4973,11.4575,16.6,-45.4,11.421,10.983,10.944,0.372,"NULL","NULL",0,3747,0,3
"3144",52644,653,560,1,3.48435,10.948,10.9,-25.8,11.457,10.684,10.614,0.657,"NULL","NULL",0,3749,0,3
"3152",52657,653,1147,1,3.44034,11.967,64,-116.5,10.186,9.349,9.274,0.711,"21282","NULL",0,3762,0,3
"3159",52672,654,45,1,3.09079,13.6986,54.5,-23.4,11.785,10.809,10.721,0.83,"NULL","NULL",0,3777,0,3
"3162",52675,654,76,1,3.13062,13.1579,-5.3,-45.2,11.542,10.419,10.318,0.955,"NULL","NULL",0,3780,0,3
"3163",52676,654,119,1,3.07286,14.8583,53.9,-74.7,10.493,9.798,9.735,0.591,"NULL","NULL",0,3781,0,3
"3168",52681,654,159,1,3.12909,13.3294,58.1,-32.5,10.655,9.904,9.836,0.638,"NULL","NULL",0,3786,0,3
"3169",52682,654,171,1,3.13933,14.4266,159.8,-77.4,11.473,10.411,10.315,0.903,"NULL","NULL",0,3787,0,3
"3188",52703,654,396,1,3.13921,13.2937,11.8,-158.3,10.328,9.518,9.445,0.688,"NULL","NULL",0,3808,0,3
"3190",52705,654,411,1,3.14633,14.6846,46.1,-24.7,11.014,10.728,10.702,0.243,"NULL","NULL",0,3810,0,3
"3192",52707,654,447,1,3.11316,14.6141,42,-7.1,11.876,11.002,10.923,0.743,"NULL","NULL",0,3812,0,3
"3196",52713,654,753,1,3.16205,13.1402,34,-3.5,10.616,9.882,9.816,0.624,"NULL","NULL",0,3818,0,3
"3206",52723,654,1020,1,3.1506,13.9599,62,-41.4,11.445,10.134,10.016,1.114,"NULL","NULL",0,3828,0,3
"3213",52731,654,1583,1,3.23268,14.3135,-16.7,-62.3,11.02,9.965,9.87,0.897,"NULL","NULL",0,3836,0,3
"3217",52735,654,1626,1,3.21413,13.6634,103.2,-45.4,11.335,10.688,10.63,0.55,"NULL","NULL",0,3840,0,3
"3221",52740,654,1746,1,3.15893,13.6049,37.2,-17.9,11.511,10.882,10.825,0.535,"NULL","NULL",0,3845,0,3
"3225",52747,655,109,1,3.39674,14.7153,0.5,-48.8,12.164,10.747,10.619,1.204,"NULL","NULL",0,3852,0,3
"3232",52758,655,441,1,3.38269,13.8919,31.7,-19.4,12.058,11.166,11.086,0.758,"NULL","NULL",0,3863,0,3
"3233",52759,655,595,1,3.34616,14.594,64,-34.4,11.353,10.314,10.22,0.883,"NULL","NULL",0,3864,0,3
"3234",52760,655,672,1,3.31451,14.3191,10.6,-28.2,10.786,9.887,9.806,0.764,"NULL","NULL",0,3865,0,3
"3237",52764,655,766,1,3.27954,14.5397,32,-151.1,10.906,9.992,9.91,0.777,"NULL","NULL",0,3869,0,3
"3239",52769,655,901,1,3.29492,14.5592,49.4,-34.7,11.597,10.344,10.231,1.065,"NULL","NULL",0,3874,0,3
"3243",52775,655,1081,1,3.28856,13.8727,13,-61.2,11.081,10.323,10.255,0.644,"NULL","NULL",0,3880,0,3
"3251",52783,655,1306,1,3.3481,14.2022,49.4,-20.7,10.844,10.242,10.188,0.512,"NULL","NULL",0,3888,0,3
"3254",52787,655,1433,1,3.25342,12.6565,51.5,-60.9,10.778,9.799,9.711,0.832,"NULL","NULL",0,3892,0,3
"3258",52797,656,123,1,3.55726,14.5236,73.9,-83.5,10.278,9.468,9.395,0.689,"NULL","NULL",0,3902,0,3
"3259",52798,656,152,1,3.55631,12.6971,15.1,-100.9,10.508,9.602,9.52,0.77,"NULL","NULL",0,3903,0,3
"3263",52805,656,421,1,3.52332,14.6845,28.1,-36.8,10.156,9.606,9.557,0.468,"NULL","NULL",0,3910,0,3
