"RA_J2000","DE_J2000"
4.3319,16.5226
5.66715,6.06058
5.00943,3.61575
5.21332,16.3071
4.52697,17.7098
4.3161,19.9067
4.62555,15.1465
3.37572,17.7254
3.56899,17.8328
4.11701,15.335
4.84273,15.0835
4.67374,16.5137
4.1727,12.0776
4.86389,13.6552
4.66416,12.7285
3.80329,7.14624
4.56626,15.1636
4.54179,4.13954
4.4647,24.4448
4.7804,17.7483
3.88612,17.3271
3.91847,16.9985
4.49211,17.8932
4.513,16.1487
3.46731,22.0231
4.41335,15.8747
3.14564,15.3348
4.40405,21.7362
3.23466,18.3038
3.30419,9.24515
6.08284,14.3884
3.90444,8.55867
4.49937,16.6728
3.85086,23.9037
4.14074,12.1918
4.56033,21.1509
5.94675,10.4793
3.62638,21.3432
4.05261,5.98931
3.99458,10.3304
4.53553,21.6324
6.06638,23.008
4.18897,5.52305
5.03897,13.9102
4.77933,9.01742
3.91707,12.4856
5.69289,15.2137
3.8343,22.5916
4.37911,16.791
4.22586,7.71604
4.91492,10.1508
3.65933,18.3849
4.19895,23.6363
3.96314,22.9244
4.93219,4.67043
4.06572,8.19727
4.23841,12.3481
5.52321,12.5561
4.92824,20.0022
5.61511,9.29067
2.9406,18.0231
4.44523,12.6866
3.80915,15.202
5.00939,14.3838
4.2911,23.4685
4.09845,11.9662
3.05796,23.0615
4.60388,21.5365
4.16371,9.3055
4.17057,17.3684
5.61736,20.7308
4.28524,22.6733
3.8358,6.62069
3.01003,5.98606
4.25936,15.7063
4.14191,12.3379
5.033,9.98312
2.96812,20.6687
5.21484,19.7222
6.01499,21.021
3.06412,6.1333
4.25289,14.3985
4.81171,18.7094
5.17168,9.50206
3.34144,8.45444
5.48101,12.5508
5.19624,4.40354
4.28768,20.5786
5.03606,14.0816
4.66184,9.87207
5.12731,9.47178
5.93429,13.9249
3.17088,12.0505
4.88465,22.2352
3.86822,22.6716
4.564,5.38502
2.9215,16.3092
3.71025,17.2935
3.68626,3.61138
3.52976,14.3216
5.11173,14.4462
3.00078,7.74975
5.74911,9.24208
3.24645,8.98079
3.74753,11.92
5.69969,15.3372
4.258,6.18686
4.25716,6.19965
3.90779,16.6161
4.59868,16.5093
3.4018,23.785
5.49084,15.5773
3.17096,5.90877
3.73127,16.672
4.08896,22.0089
3.72924,16.6673
5.12417,18.6451
5.40707,17.3835
5.39399,17.3241
4.68857,20.9015
5.53741,9.82081
5.21173,19.6656
4.86826,6.47654
4.5035,5.29882
4.48337,21.9227
5.60861,11.3279
4.71549,18.9582
5.46671,9.64393
5.90638,20.2762
4.83067,6.96128
5.70257,12.4893
2.98565,4.00394
2.99485,4.10045
2.95028,5.53028
2.96517,7.43518
2.94589,6.33703
2.92517,5.93361
2.98356,7.31507
2.96253,6.91314
2.90501,6.77662
2.9092,5.46658
2.91171,5.42447
3.0505,3.92841
3.06419,3.64896
3.10843,3.73536
3.21416,4.23486
3.28853,4.26479
3.30531,4.82856
3.33328,4.64777
3.21034,4.57154
3.30238,3.74381
3.35448,3.461
3.4129,4.92165
3.49566,3.92762
3.37775,4.26772
3.47082,4.16337
3.40665,4.01909
3.42005,3.88633
3.38461,3.8678
3.08284,7.15686
3.01657,5.59341
3.06939,5.18872
3.02481,7.17435
3.19213,6.83096
3.26493,6.81998
3.29444,7.14697
3.26684,7.46102
3.23449,7.21683
3.31295,7.10458
3.29455,7.22104
3.2272,7.08393
3.24197,5.74162
3.27615,6.28367
3.40156,7.4908
3.45877,7.36056
3.4892,6.63608
3.46609,7.25505
3.38569,6.38048
3.4912,5.87565
3.47291,5.40009
3.41674,5.61765
3.51697,4.05647
3.50695,4.13824
3.60488,4.83267
3.54302,3.93453
3.64594,4.02498
3.62275,4.88531
3.58207,4.05964
3.56654,3.99578
3.70178,4.99326
3.68832,4.54937
3.76057,4.59325
3.76692,4.56974
3.91368,4.76834
3.84354,4.05967
3.52832,7.12963
3.53201,7.46807
3.55241,5.25067
3.55158,5.4582
3.56907,5.83715
3.61395,6.41401
3.53916,6.33287
3.60819,5.34924
3.58534,6.00628
3.55538,5
3.59321,7.37516
3.64713,7.49832
3.73123,6.15296
3.67916,6.17345
3.66877,5.87458
3.78787,5.86161
3.81727,5.98883
3.8125,5.03695
3.72651,7.0898
3.6739,5.13052
3.69009,7.05463
3.78599,7.05309
3.99599,7.33442
3.97594,6.14112
3.98476,7.26982
3.85104,5.01763
3.91226,5.01072
3.84718,5.46254
3.88534,7.10098
4.05172,4.81797
4.1642,3.79522
4.15364,4.76117
4.11814,4.32054
4.30687,4.47232
4.25262,4.77492
4.3299,3.88198
4.31205,3.57349
4.24713,4.78815
4.47784,4.26182
4.4737,4.13356
4.42568,4.77071
4.02251,6.41741
4.06537,6.56189
4.14045,5.14254
4.01269,5.66809
4.19771,7.43529
4.21111,6.37171
4.2358,6.49401
4.26179,6.21539
4.20248,5.1958
4.1755,5.90026
4.24068,5.18057
4.33969,6.30713
4.33999,5.95085
4.42282,7.31435
4.41139,7.44279
4.36134,7.23699
4.37236,5.33252
4.46094,5.39971
4.35366,6.23317
4.39745,7.00389
