C,MAP, recall, RPrecision
0.1,0.3358, 0.953731,0.3209
0.15,0.3403,0.953731,0.3278
0.2381,0.3472,0.953731,0.3347
0.2505,0.3499,0.953731,0.3367
0.3277,0.3540,0.953731,0.3379
0.3444,0.3551,0.953731,0.3379
0.39,0.3593,0.955223,0.3383
0.7228,0.3607,0.952238,0.3624
0.75,0.3609,0.952238,0.3620

